Fiyat,Yil,Kilometre,Motor_Hacmi,Motor_Gucu,Marka,Vites_Tipi,Yakit_Tipi,Segment
1269000.0,2017,230000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1945000.0,2023,40000.0,1332.0,158.0,Nissan,Yarı Otomatik,Hibrit,PREMIUM
1670000.0,2020,78000.0,1461.0,115.0,Nissan,Yarı Otomatik,Dizel,UST
1290000.0,2017,173000.0,2298.0,190.0,Nissan,Otomatik,Dizel,EKONOMIK
750000.0,2012,315000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
2080000.0,2022,51000.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
1084750.0,2013,120000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
950000.0,2013,203000.0,1598.0,117.0,Nissan,Otomatik,LPG & Benzin,ORTA
2449000.0,2022,98000.0,1497.0,213.0,Nissan,Otomatik,Benzin,PREMIUM
1305000.0,2015,205000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1795000.0,2021,45500.0,2298.0,190.0,Nissan,Otomatik,Dizel,PREMIUM
869000.0,2010,191000.0,1461.0,106.0,Nissan,Düz,Dizel,ORTA
899000.0,2013,182000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
820000.0,2012,242000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1119750.0,2015,189000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
990000.0,2013,229000.0,1598.0,130.0,Nissan,Düz,Dizel,ORTA
1765000.0,2021,84000.0,1332.0,158.0,Nissan,Yarı Otomatik,Benzin,PREMIUM
1295000.0,2016,195000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
899999.0,2011,193000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
2610000.0,2022,49000.0,1497.0,213.0,Nissan,Otomatik,Benzin,PREMIUM
155000.0,1997,300000.0,2494.0,80.0,Nissan,Düz,Dizel,EKONOMIK
875000.0,2012,251000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
905000.0,2012,219000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
740000.0,2012,241000.0,1461.0,106.0,Nissan,Düz,Dizel,ORTA
1900000.0,2020,76792.0,1497.0,163.0,Nissan,Otomatik,Benzin,PREMIUM
1095000.0,2012,139500.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
2674750.0,2023,20000.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
1540000.0,2020,97000.0,1461.0,115.0,Nissan,Yarı Otomatik,Dizel,UST
750000.0,2012,315000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1329900.0,2015,85120.0,1197.0,115.0,Nissan,Otomatik,Benzin,UST
899000.0,2013,182000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
990000.0,2013,229000.0,1598.0,130.0,Nissan,Düz,Dizel,ORTA
2575000.0,2024,17000.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
1100000.0,2012,132000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
999000.0,2013,183000.0,1598.0,130.0,Nissan,Düz,Dizel,ORTA
1435000.0,2014,138000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
739950.0,2013,280000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
875000.0,2012,251000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
905000.0,2012,219000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
740000.0,2012,241000.0,1461.0,106.0,Nissan,Düz,Dizel,ORTA
1900000.0,2020,76792.0,1497.0,163.0,Nissan,Otomatik,Benzin,PREMIUM
1320000.0,2014,139000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1610000.0,2017,83700.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1200000.0,2015,199000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1365000.0,2019,187430.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
450000.0,2004,345000.0,2488.0,133.0,Nissan,Düz,Dizel,EKONOMIK
1415000.0,2015,159000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1550000.0,2016,129000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1490000.0,2018,78500.0,1197.0,115.0,Nissan,Otomatik,Benzin,UST
