Yil,Kilometre,Motor_Hacmi,Motor_Gucu,Tork,Hizlanma_0_100,Maks_Hiz,Uzunluk,Genislik,Yukseklik,Bos_Agirlik,Koltuk_Sayisi,Bagaj_Hacmi,Silindir_Sayisi,Ort_Kasko,Marka,Vites_Tipi,Yakit_Tipi,Kasa_Tipi,Cekis,Kimden,Fiyat,Tahmin_Fiyat,Gercek_Fiyat,Fark_TL,Fark_Pct,Durum
2014,230000.0,1598.0,130.0,,10.7,,4379.0,1800.0,1590.0,,5.0,,4.0,17977.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1075000.0,1195961,1075000,-120961,-10.1,FIRSAT
2016,164000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1390000.0,1271279,1390000,118720,9.3,MAKUL
2023,15000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Hibrit,SUV,AWD (Elektronik),Galeriden,2400000.0,2280999,2400000,119000,5.2,MAKUL
2020,102000.0,1332.0,160.0,,10.1,,4394.0,1806.0,1590.0,,5.0,,4.0,15261.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1500000.0,1520668,1500000,-20668,-1.4,MAKUL
2022,72000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1935000.0,1950141,1935000,-15141,-0.8,MAKUL
2019,85000.0,1332.0,160.0,,10.1,,4394.0,1806.0,1590.0,,5.0,,4.0,16546.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1465000.0,1672866,1465000,-207866,-12.4,FIRSAT
2017,98000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Düz,Dizel,SUV,Arkadan İtiş,Galeriden,1260000.0,1276605,1260000,-16605,-1.3,MAKUL
2020,103000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Dizel,SUV,AWD (Elektronik),Galeriden,1645000.0,1687090,1645000,-42090,-2.5,MAKUL
2001,270000.0,2488.0,133.0,,13.0,,5090.0,1825.0,1830.0,,5.0,,4.0,15946.0,Nissan,Düz,Dizel,Hard top,Arkadan İtiş,Galeriden,550000.0,329023,550000,220977,67.2,PAHALI
2013,110000.0,1461.0,110.0,,12.2,,4330.0,1783.0,1615.0,,5.0,,4.0,15761.0,Nissan,Düz,Dizel,SUV,Önden Çekiş,Galeriden,1040000.0,1117657,1040000,-77657,-6.9,MAKUL
2023,43800.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Hibrit,SUV,Önden Çekiş,Galeriden,2025000.0,2049893,2025000,-24893,-1.2,MAKUL
2024,35000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,2125750.0,2159918,2125750,-34168,-1.6,MAKUL
2010,377700.0,1461.0,110.0,,12.2,,4330.0,1783.0,1615.0,,5.0,,4.0,13348.0,Nissan,Düz,Dizel,SUV,Önden Çekiş,Galeriden,645000.0,662406,645000,-17406,-2.6,MAKUL
2016,175000.0,1461.0,110.0,,12.4,,4379.0,1800.0,1590.0,,5.0,,4.0,18918.0,Nissan,Düz,Dizel,SUV,Önden Çekiş,Galeriden,1119900.0,1176513,1119900,-56613,-4.8,MAKUL
2015,254000.0,1598.0,130.0,,10.7,,4379.0,1800.0,1590.0,,5.0,,4.0,17538.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1059000.0,1102632,1059000,-43632,-4.0,MAKUL
2016,199650.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1135000.0,1096653,1135000,38346,3.5,MAKUL
2025,13500.0,1497.0,213.0,,7.0,,4680.0,1840.0,1725.0,,5.0,,3.0,15946.0,Nissan,Otomatik,Benzin,SUV,4WD (Sürekli),Galeriden,3500000.0,3480999,3500000,19000,0.5,MAKUL
2024,19500.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,2250000.0,2129431,2250000,120568,5.7,MAKUL
2016,69000.0,1598.0,117.0,,11.5,,4135.0,1765.0,1565.0,,5.0,,4.0,14518.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1190000.0,1196265,1190000,-6265,-0.5,MAKUL
2006,332000.0,2488.0,144.0,,12.7,,5220.0,1850.0,1766.0,,5.0,,4.0,15946.0,Nissan,Düz,Dizel,Hard top,Arkadan İtiş,Galeriden,457000.0,475483,457000,-18483,-3.9,MAKUL
2019,64000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Dizel,SUV,AWD (Elektronik),Galeriden,1425000.0,1858502,1425000,-433502,-23.3,FIRSAT
2017,255000.0,2298.0,190.0,,10.8,,5330.0,1850.0,1840.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Dizel,Hard top,4WD (Sürekli),Galeriden,1199000.0,1202764,1199000,-3764,-0.3,MAKUL
2011,425000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Düz,Dizel,SUV,Arkadan İtiş,Galeriden,725000.0,710834,725000,14165,2.0,MAKUL
2011,300000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Düz,Dizel,SUV,Arkadan İtiş,Galeriden,595900.0,661538,595900,-65638,-9.9,MAKUL
2017,150000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1489000.0,1477794,1489000,11205,0.8,MAKUL
2017,88000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1695000.0,1660380,1695000,34619,2.1,MAKUL
